type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Sports Car,,Rear Right Wheel Arch,*,,LMP Number,0.75,0.5,,0,120,,,,,,,,,,,,,125,,,
Sports Car,,Bonnet,*,,LMP Class,0.25,0.5,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,LMP Logo,0.5,0.26,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,LMP Number,0.5,0.62,,0,120,,,,,,,,,,,,,450,,,
Sports Car,,Bonnet,*,,LMP Flag,0.75,0.5,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,HY Letter,0.25,0.5,,0,140,,,,,,,,,,,,,125,,,
Sports Car,,Bonnet,*,,HY Logo,0.5,0.26,1,0,150,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,HY Number,0.5,0.62,,0,160,,,,,,,,,,,,,450,,,
Sports Car,,Bonnet,*,,HY Class,0.75,0.5,1,0,170,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,HY Flag,0.5,0.8,1,0,180,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,GTE Logo,0.4,0.37,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,GTE Number,0.4,0.62,,0,110,,,,,,,,,,,,,310,,,
Sports Car,,Left Door Number Plate,*,,GTE Class,0.66,0.25,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,GTE Regulatory,0.66,0.62,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,GTE Logo,0.6,0.37,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,GTE Number,0.6,0.62,,0,110,,,,,,,,,,,,,310,,,
Sports Car,,Right Door Number Plate,*,,GTE Class,0.34,0.25,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,GTE Regulatory,0.34,0.62,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,GTE Flag,0.25,0.26,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,GTE Logo,0.74,0.24,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Bonnet,*,,GTE Number,0.62,0.47,,0,120,,,,,,,,,,,,,440,,,
Sports Car,,Bonnet,*,,GTE Class,0.625,0.75,1,0,130,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,,GTE Logo,0.14,0.37,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,,GTE Number,0.14,0.62,,0,110,,,,,,,,,,,,,215,,,
Gran Turismo GT,,Left Door Number Plate,*,,GTE Class,0.56,0.25,1,0,120,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,,GTE Regulatory,0.56,0.62,1,0,130,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,,GTE Logo,0.86,0.37,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,,GTE Number,0.86,0.62,,0,110,,,,,,,,,,,,,215,,,
Gran Turismo GT,,Right Door Number Plate,*,,GTE Class,0.44,0.25,1,0,120,,,,,,,,,,,,,,,,
Gran Turismo GT,,Right Door Number Plate,*,,GTE Regulatory,0.44,0.62,1,0,130,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,,GTE Flag,0.25,0.26,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,,GTE Logo,0.74,0.24,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Bonnet,*,,GTE Number,0.74,0.47,,0,120,,,,,,,,,,,,,570,,,
Gran Turismo GT,,Bonnet,*,,GTE Class,0.625,0.75,1,0,130,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,,F3 Flag,0.25,0.5,1,0,100,,,,,,,,,,,,,,,,
Formula,,Left Side Panel,*,,F3 Name,0.5,0.5,,0,110,,,,,,,,,,,,,75,,,
Formula,,Right Side Panel,*,,F3 Flag,0.75,0.5,1,0,100,,,,,,,,,,,,,,,,
Formula,,Right Side Panel,*,,F3 Name,0.5,0.5,,0,110,,,,,,,,,,,,,75,,,
Sports Car,,Front Bumper,*,,BGT Plate,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Front Bumper,*,,BGT Text,0.125,0.5,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Front Bumper,*,,BGT Text2,0.875,0.5,,0,120,,,,,,,,,,,,,125,,,
Sports Car,,Front Bumper,*,,BGT Logo,0.125,0.75,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Front Bumper,*,,BGT Logo2,0.875,0.75,1,0,140,,,,,,,,,,,,,,,,
Sports Car,,Rear Bumper,*,,BGT Logo,0.1,0.25,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Rear Bumper,*,,BGT Logo2,0.9,0.25,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Rear Bumper,*,,BGT Logo3,0.125,0.5,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Rear Bumper,*,,BGT Logo4,0.875,0.5,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,,BGT Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,,BGT Number,0.125,0.5,,0,110,,,,,,,,,,,,,187,,,
Sports Car,,Bonnet,*,,BGT Number,0.3,0.5,,0,100,,,,,,,,,,,,,400,,,
Sports Car,,Bonnet,*,,BGT Logo,0.3,0.25,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,BGT Number,0.7,0.5,,0,100,,,,,,,,,,,,,350,,,
Sports Car,,Right Door Number Plate,*,,BGT Logo,0.75,0.25,1,0,110,,,,,,,,,,,,,,,,
